N° Reseña,Título,Comentario,Puntaje,Puntaje (estrellas)
1,"Just lost over £3,000 on a holiday to…","Just lost over £3,000 on a holiday to Thailand. This is absolutely disgusting. We had to cancel to one of our friends having to have a back surgery and would no longer be able to travel. This was for a special occasion for him. Airbnb and the host have declined to refund any money. There is no customer service or support. Avoid at all costs.",Rated 1 out of 5 stars,1
2,Airbnb.. worst experience ever overnight,"Was part of the group of 7 people who stayed at this place. Everything about this apartment was a lie, most things broken and not working on the place, smelled like weed, a/c barely working, refrigerator broken, toilets wouldn’t flush, every piece of furniture was broken in some way.  The worst part was that it’s located in the worst part of town, and a very unsafe feeling all around the place.  Could go on for hours about how bad the experience was… 1300 Crossing Place 522Austin, Texas 78741United States of AmericaI will never use an Airbnb ever again in my life.  Can only hope someone will learn from our mistake.",Rated 1 out of 5 stars,1
3,Serious safety issue ignored and case mishandled,"I recently had a very disappointing experience with Airbnb. During my stay, water leaked directly from the bathroom light fixture for four days in a windowless bathroom, creating a clear risk of fire and electrocution. Despite providing evidence and reporting this immediately, Airbnb treated it as a minor “amenity issue” and offered me just €75 in compensation.Even more troubling, the host pressured me to remove my review in exchange for a refund. I refused, because I wanted to respect Airbnb’s rules and trust their process. Unfortunately, this left me worse off — Airbnb closed my case without taking the safety risk or the host’s misconduct seriously.This experience has completely undermined my trust in Airbnb’s promise to “have guests’ backs.” If safety hazards and review manipulation are brushed aside in this way, it is hard to see how guests can feel protected by the platform.",Rated 1 out of 5 stars,1
4,I recently booked with BRIAN LAMBERT in…,I recently booked with BRIAN LAMBERT in  LENOIR NC and his amenities were not at all what he described. The listing says he has a stove and all he has is a hot plate! That's just one of the many lies he uses to describe this space. We also had ants throughout the entire unit for our stay and he said we brought them with us!!! of course I complained to him and he wrote a review saying I was combative and he does not recommend me to anyone else. I spent hours on the phone and did two request to remove this review and had all of the proof and pictures to support the truth and they denied the removal of the review both times that he did on me! Absolutely ridiculous because I had all of the proof! Won't be using AIRBNB again!,Rated 1 out of 5 stars,1
5,"What an awful experience,it is very…","What an awful experience,it is very difficult to have a conversation over the telephone due to the language barrier. Too many problems so cancelled. Under no circumstances would I use ABNB. I am awaiting my refund. Be warned",Rated 1 out of 5 stars,1
6,Airbnb allowing hosts extort money from…,"Airbnb allowing hosts extort money from the guests.By mistake I booked an accommodation for 1 person instead of 3. While amending the booking, the host asked 3 times the cost of the apartment. ( 330€ instead of 110€). Normally only extra city tax was to apply. I rejected host’s offer and he cancelled my booking. I lost the money I paid and the host refused me to check in (even alone).Despite of me providing the screenshot of differential I had to pay on this apartment (extra city tax),I was explained by Airbnb that I had to accept the amendment (330€)..I had the impression that all people of Airbnb support were merely bots 🤖",Rated 1 out of 5 stars,1
7,Avoid at all cost,"Man, the rating on Trustpilot and their stock performance over the last 5 years really speaks for itself.Company loosing it value.Per definition.Honestly, Airbnb has the best UI. But underneath the facade, the company is super ugly.Honestly, I would try to avoid them at all cost.I got blocked because one host wasn't returning my property and kept lying to me that he could not access the apartment, even though I saw the profile was being booked.I told him he will see I will go to the police.Then Airbnb just blocked me without naming any specific reason.Because they support thieves, don't hold them accountable and even support them.Emotionally immature, incompetent company.AVOID AT ALL COST.",Rated 1 out of 5 stars,1
8,Airbnb offers NO real protection,"​Booked an Airbnb for £1,577 (2 nights, 6 bedrooms, 4 bathrooms). Reality: no hot water for hours, one bathroom unusable all day, tradesmen drilling inside for 5+ hours — with multiple babies in the house.Airbnb’s “Guest Refund Policy” promises protection if essential amenities fail or if the property isn’t as described. All applied, yet they dismissed it as “no violation” and offered a token $200. Only by going through my credit card company did I claw the money back.Airbnb does not protect guests. Their policies mean nothing in practice. Book with extreme caution — you’re on your own if things go wrong.",Rated 1 out of 5 stars,1
9,Airbnb is showing outrageous injustice,"Airbnb is showing outrageous injustice. People from Russia cannot use the service just because they live in Russia. This is pure discrimination based on nationality. Airbnb is depriving a huge group of people of the right to use its platform, to travel freely, and to choose accommodation — following double standards instead of principles of equality and accessibility.Such treatment of customers is absolutely unacceptable in the modern world. Instead of bringing people together, the platform deliberately divides them and punishes them for their origin and place of residence.Airbnb must reconsider this shameful practice, otherwise it will remain branded as a company that violates basic human rights and discriminates on the basis of nationality.",Rated 1 out of 5 stars,1
10,Have been waiting on their reaction on…,"Have been waiting on their reaction on an appeal I've sent...It's been 22 months and they still haven't responded.I can't contact them via their website, because I am still waiting on their reaction; even though they state that they respond within 7 days.Would definitely not recommend their customer service",Rated 1 out of 5 stars,1
